review_id,port,sentence,sentiment
1,Roatan,Roatan ended up being the highlight for me.,0.34
1,Roatan,I booked a small group tour that included a wildlife sanctuary and a short beach stop.,-0.296
1,Roatan,"still memorable, and the guides were genuinely funny and engaging.",0.6486
1,Cozumel,"Cozumel was the easiest to navigate-we just walked around town, grabbed lunch, and did some light shopping.",0.4215
1,Cozumel,"Overall, I liked the variety of stops",0.296
1,Costa Maya,wished Costa Maya had either more time or better access to less commercial areas.,0.4877
2,Roatan,I've cruised a few times and Roatan felt the most authentic of the three stops.,-0.1531
2,Roatan,"The reef was impressive, probably the best water visibility of the trip.",0.8176
2,Costa Maya,Costa Maya was my least favorite.,-0.357
2,Costa Maya,We picked one randomly and it was fine,0.2023
2,Costa Maya,nothing special.,-0.3089
2,Cozumel,"Cozumel had more flexibility-we rented a scooter and drove along the coast, stopping wherever looked interesting.",0.2732
2,Cozumel,That freedom made a big difference.,0.6369
3,Costa Maya,Costa Maya was a long day because we chose the ruins excursion.,-0.4404
3,Costa Maya,"The ruins themselves were fascinating,",0.1531
3,Costa Maya,"the bus ride was close to an hour each way, which made the day feel exhausting.",-0.3612
4,Roatan,Roatan surprised me in a good way.,0.5859
4,Roatan,It didn't feel overcrowded like I expected.,-0.2755
4,Costa Maya,"Costa Maya, on the other hand, felt very manufactured.",0.4939
4,Costa Maya,We stayed in the port area and honestly just used the pool and had a few drinks there.,0.4588
4,Costa Maya,Didn't feel worth getting off for long.,-0.1695
5,Costa Maya,"Traveling with my sister, we were most excited about Costa Maya because of the Mayan ruins.",-0.0534
5,Costa Maya,"The site itself was beautiful and surrounded by jungle,",0.5994
5,Roatan,"In Roatan, we did a cultural tour that included local food tasting and a brief island history overview, which I appreciated more than I expected.",0.5106
5,Cozumel,"Cozumel was more relaxed-we booked a beach club with limited capacity, which made it feel less chaotic than the main areas.",-0.5868
5,Cozumel,"Overall, the itinerary is good",0.4404
5,Costa Maya,you really feel the time pressure at Costa Maya.,-0.296
6,Roatan,Roatan was worth getting off for-we did an ATV tour through some rural areas and it felt more adventurous than typical excursions.,0.5563
6,Roatan,Got pretty muddy,0.4939
6,Roatan,that was part of the fun.,0.5106
7,Roatan,Roatan felt a bit disorganized when we first got off the ship.,-0.296
7,Roatan,"Once we got past that, our snorkeling excursion was great and well run.",0.7351
7,Costa Maya,Costa Maya was honestly disappointing.,-0.0516
7,Costa Maya,"The port area is nice visually,",0.4215
7,Costa Maya,it didn't feel like we were seeing anything real.,-0.2755
7,Cozumel,"Cozumel redeemed the trip-we did a catamaran snorkel and beach stop, and that was easily the most enjoyable day.",0.6901
8,Roatan,"Roatan was more nature-focused-we visited a botanical area and learned about local plants, which was interesting",0.4019
8,Cozumel,Cozumel was our least planned day and also the easiest.,0.4215
8,Cozumel,We just found a place to swim and relax.,0.4404
9,Costa Maya,Costa Maya was better than I expected-we took a taxi to a quieter stretch of beach and had a much calmer experience.,0.6597
10,Roatan,Roatan had the best excursion of the trip for us.,0.6369
10,Roatan,"We combined snorkeling with a short island tour, and both parts were well organized.",0.2732
10,Costa Maya,Costa Maya felt like a missed opportunity.,0.4767
10,Cozumel,Cozumel was fun,0.5106
10,Cozumel,"We did a tequila tasting and it was entertaining,",0.4404
10,Cozumel,definitely designed for cruise crowds.,0.4019
11,Costa Maya,"We chose a long excursion in Costa Maya to see the lagoon area, and while it was beautiful, the travel time took up most of the day.",0.5994
11,Cozumel,Cozumel was flexible and easy to explore without a plan.,0.5859
11,Cozumel,That balance made the itinerary enjoyable overall.,0.4404
12,Roatan,Roatan was my favorite stop.,0.2023
12,Costa Maya,Costa Maya was my least favorite because everything felt built around the cruise schedule.,-0.357
12,Cozumel,"Cozumel had better independent options, especially if you're willing to take a taxi away from the port.",0.4404
13,Roatan,"Roatan was also great for water activities, though our excursion felt a bit rushed.",0.6249
13,Roatan,the timing made it hard to fully enjoy.,0.4754
14,Costa Maya,Costa Maya ruins tour was impressive,0.1027
14,Costa Maya,You move quickly and don't have much freedom to explore on your own.,-0.5216
14,Cozumel,Cozumel was easygoing and probably the best for just wandering without a plan.,0.7579
15,Roatan,"In Roatan, our excursion included a wildlife stop and beach time,",-0.296
15,Roatan,"We chose a beach club and enjoyed it,",0.5106
15,Cozumel,"Cozumel was the easiest to manage independently, which made it less stressful.",-0.0534
16,Costa Maya,"We rented a golf cart in Costa Maya and drove along the coast, stopping at different beach spots.",-0.1531
16,Costa Maya,That ended up being more fun than a structured excursion.,0.5563
16,Roatan,"Roatan was more about organized tours for us, which worked fine.",0.2023
16,Cozumel,"Cozumel had a mix of both options, which I liked.",0.4215
17,Costa Maya,"Costa Maya felt more artificial near the port, though the farther areas were nicer.",0.4404
17,Cozumel,Cozumel was lively,0.4404
18,Roatan,Snorkeling in Roatan was easily the best activity of the cruise.,0.765
18,Costa Maya,Costa Maya didn't impress me much-we stayed near the port and it felt like a shopping stop more than a destination.,-0.2746
18,Cozumel,Cozumel had better balance with things to do both near and away from the port.,0.4404
20,Costa Maya,"Roatan worked best with a guided excursion, Costa Maya required leaving the port to enjoy it, and Cozumel was the easiest to explore casually.",0.8979
20,Roatan,"Roatan worked best with a guided excursion, Costa Maya required leaving the port to enjoy it, and Cozumel was the easiest to explore casually.",0.8979
20,Cozumel,"Roatan worked best with a guided excursion, Costa Maya required leaving the port to enjoy it, and Cozumel was the easiest to explore casually.",0.8979
21,Roatan,Roatan was our favorite stop on this itinerary.,0.2023
21,Roatan,The animal encounter was the highlight because the guides explained a lot about conservation and how tourism supports local work.,0.5994
21,Cozumel,Cozumel was our most active day.,0.4576
21,Cozumel,We rented a private driver and did a mix of snorkeling and a quick stop near a beach club area.,-0.296
21,Costa Maya,"Overall, I liked how each port offered a different pace: Roatan for nature and animals, Costa Maya for a relaxed beach day, and Cozumel for activity and exploring.",0.7184
